No.DB1;LON;LAT;ELEV;sand;silt;clay;BULK;COARSE;OrganicCarbon;N;PH;Region;SLLL;SDUL;SSAT;clust4Org;clust3Org;clust3
157;-15.30972222;13.11972222;0.026083333;0.593393689;0.194019857;0.212592905;1.517969881;0.130672781;2.267079118;9.638485157;5.489884127;2;0.15448661;0.260224797;0.463041058;4;3;1
158;-15.21972222;12.68972222;0.052762346;0.531499843;0.253328427;0.215165202;1.412204837;0.114665603;1.8853339;11.73516068;5.554854732;2;0.150783118;0.265354245;0.456982019;4;3;2
159;-15.21972222;12.77972222;0.019950617;0.53474323;0.262049804;0.203060876;1.459102754;0.135185268;1.856271136;11.90090577;5.61695974;2;0.143824442;0.258698933;0.457191821;4;3;2
160;-15.21972222;12.85972222;0.022228395;0.430014835;0.298433266;0.271664761;1.475283703;0.148158708;2.211218045;9.828850647;5.237209792;2;0.18347791;0.313005091;0.477061734;4;3;2
162;-15.21972222;13.02972222;0.037756173;0.55124572;0.230630743;0.21806038;1.529171184;0.150310986;1.69367638;9.327747578;5.503436098;2;0.15030384;0.25922107;0.446852471;4;3;2
163;-15.13972222;12.68972222;0.035197531;0.532354067;0.261117708;0.20662127;1.47047191;0.133453982;1.078831594;9.595247384;5.421016204;2;0.136654475;0.245450444;0.426700601;4;3;2
165;-15.31972222;13.26972222;0.047984568;0.58125154;0.226215174;0.192544506;1.523439948;0.085433297;1.149024252;7.855722816;5.508320564;3;0.129436012;0.230075943;0.42593741;1;1;1
166;-15.31953252;13.35853659;0.033914634;0.684763529;0.151578039;0.163469912;1.547695016;0.077143446;1.181349438;7.515979357;5.667470492;3;0.112944203;0.19479407;0.423047618;1;1;1
167;-15.23972222;13.09972222;0.049466049;0.538661445;0.246049194;0.215207029;1.504548184;0.117034688;2.045210478;10.6803194;5.52948222;3;0.152710154;0.267151304;0.462081538;4;3;2
168;-15.23972222;13.18972222;0.052012346;0.579456374;0.209038155;0.211747566;1.512070456;0.103125637;2.058886148;10.37665251;5.47375777;3;0.151361669;0.258202321;0.457600908;4;3;1
169;-15.23972222;13.26972222;0.029111111;0.595141616;0.209418226;0.195431071;1.53984604;0.098729032;1.392635418;8.147118128;5.60944747;3;0.134144841;0.233744604;0.433600085;1;1;1
170;-15.23972222;13.35972222;0.049932099;0.639213229;0.189436736;0.171529281;1.581480255;0.076511688;0.710099003;6.302822025;5.610982544;3;0.111279791;0.198150004;0.406973417;1;1;1
171;-15.14972222;13.01972222;0.025376543;0.561416401;0.237770656;0.200707876;1.519479273;0.146839144;2.26774756;10.5552543;5.50337522;3;0.147703141;0.260892912;0.47020769;4;3;1
173;-15.14972222;13.18972222;0.029216049;0.595331266;0.199901708;0.204594424;1.526547772;0.086829916;2.068583633;9.562192678;5.614169937;3;0.147702479;0.252083534;0.457242051;4;3;1
174;-15.14972222;13.26972222;0.046759259;0.587155116;0.225283658;0.187457699;1.575002485;0.079925342;0.806487409;6.37028829;5.707512322;3;0.122157561;0.219260377;0.412679591;1;1;1
175;-15.14972222;13.35972222;0.051191358;0.686425801;0.140431071;0.17325661;1.55691608;0.077648607;0.737717673;6.369874567;5.613733529;3;0.11235297;0.189941324;0.405478369;1;1;1
176;-15.14972222;13.43972222;0.041570988;0.684042351;0.149540086;0.166577916;1.586540085;0.093910008;0.93778615;7.047563645;5.532033778;3;0.11127847;0.191191541;0.413648712;1;1;1
177;-15.14980084;13.51966981;0.010622642;0.557525204;0.208710844;0.213925802;1.520427573;0.087548296;0.988612571;7.428393389;5.735924199;3;0.139742777;0.242344561;0.42060224;1;1;1
178;-15.06972222;12.75972222;0.038608025;0.521107005;0.267588658;0.211394452;1.47602486;0.147301805;1.464296019;9.961723459;5.49444669;3;0.143801758;0.257441327;0.442497544;4;3;2
179;-15.06972222;12.84972222;0.027617284;0.487259754;0.274310279;0.238514828;1.513036791;0.148994153;1.518319728;9.99298719;5.513499464;3;0.159321253;0.277384848;0.446574663;4;3;2
181;-15.06972222;13.01972222;0.039574074;0.543100803;0.257384273;0.199478985;1.528660394;0.16446581;1.412836389;9.696872752;5.492288056;3;0.136586285;0.246476319;0.439184209;4;3;2
182;-15.06972222;13.09972222;0.052003086;0.543922604;0.241821345;0.21427075;1.516926409;0.100171322;2.032693053;10.95948705;5.557399356;3;0.152103356;0.265497129;0.461036764;4;3;2
