DB,Cultivar,GY_Kg_H_,GYDSSAT,Year,LON,LAT,Sand,Silt,Clay,BULK,COARSE,OrganicCarbon,N,PH,SLLL,SDUL,SSAT,SSKS,RAD,TMIN,TMAX,RAIN,RHUM,WIND,RADstd,TMINstd,TMAXstd,RAINstd,RHUMstd,WINDstd,RADdx,TMINdx,TMAXdx,RAINdx,RHUMdx,WINDdx
DB2,N4,3100,1840,2021,-13.97,14.13,0.572,0.167,0.261,1.53,1.02,0.65,0.4,6.2,0.160216223,0.25360763,0.398714764,0.43,24.1819626168224,24.4873831775701,34.3788785046729,3.8438785046729,66.9619626168224,2.08102803738318,2.02201426057222,2.16401549743594,4.84106026238497,7.77260171813387,23.1904797707722,0.878300145024536,-0.0268075117370892,-0.043849765258216,-0.0547417840375587,-1.66794069427254e-17,0.185727699530516,-0.00816901408450704
DB2,N4,2050,1920,2021,-14.4,13.85,0.498,0.255,0.247,1.32,1.44,1.15,1.07,5.4,0.155300374,0.2647248,0.414716301,0.43,23.9773831775701,24.1634579439252,34.0744392523364,4.47224299065421,68.2248598130841,2.09897196261682,1.81194541080422,1.93468567053227,4.76415916976794,9.67942295533107,22.6256229282434,0.911192722542257,-0.0264319248826291,-0.0369953051643193,-0.0511737089201878,0,0.175446009389671,-0.0103286384976526
DB2,N4,2068.62745098039,1920,2021,-14.24,13.86,0.472,0.271,0.257,1.03,1.36,2.92,1.84,5.3,0.171218073,0.291521834,0.453775618,0.43,23.9773831775701,24.1634579439252,34.0744392523364,4.47224299065421,68.2248598130841,2.09897196261682,1.81194541080422,1.93468567053227,4.76415916976794,9.67942295533107,22.6256229282434,0.911192722542257,-0.0264319248826291,-0.0369953051643193,-0.0511737089201878,0,0.175446009389671,-0.0103286384976526
DB2,N4,2083.33333333333,1840,2021,-13.96,13.77,0.496,0.224,0.28,1.56,0.66,0.48,0.4,6.5,0.170634266,0.276096862,0.404391528,0.43,23.9754672897196,24.4873831775701,34.3788785046729,3.8438785046729,66.9619626168224,2.08102803738318,1.84069861108746,2.16401549743594,4.84106026238497,7.77260171813387,23.1904797707722,0.878300145024536,-0.0246948356807512,-0.043849765258216,-0.0547417840375587,-1.66794069427254e-17,0.185727699530516,-0.00816901408450704
DB2,N4,1500,1930,2021,-14.25,14.07,0.422,0.31,0.267,1.06,1.29,1.91,1.33,5.3,0.170862587,0.29543094,0.439716728,0.23,24.2004672897196,24.1634579439252,34.0744392523364,4.47224299065421,68.2248598130841,2.09897196261682,1.99708679059268,1.93468567053227,4.76415916976794,9.67942295533107,22.6256229282434,0.911192722542257,-0.0275117370892019,-0.0369953051643192,-0.0511737089201878,0,0.175446009389671,-0.0103286384976526
DB2,N4,2500,1920,2021,-14.56,13.98,0.484,0.274,0.242,1.38,1.76,0.82,0.89,5.5,0.150461218,0.26157852,0.408980324,0.43,23.9773831775701,24.1634579439252,34.0744392523364,4.47224299065421,68.2248598130841,2.09897196261682,1.81194541080422,1.93468567053227,4.76415916976794,9.67942295533107,22.6256229282434,0.911192722542257,-0.0264319248826291,-0.0369953051643193,-0.0511737089201878,0,0.175446009389671,-0.0103286384976526
DB2,N4,2100,1930,2021,-14.58,14,0.484,0.263,0.253,1.33,1.57,0.86,0.85,5.4,0.157081211,0.267588937,0.410540043,0.43,24.2004672897196,24.1634579439252,34.0744392523364,4.47224299065421,68.2248598130841,2.09897196261682,1.99708679059268,1.93468567053227,4.76415916976794,9.67942295533107,22.6256229282434,0.911192722542257,-0.0275117370892019,-0.0369953051643193,-0.0511737089201878,0,0.175446009389671,-0.0103286384976526
DB2,N4,2600,1930,2021,-14.57,14.02,0.498,0.259,0.244,1.34,1.46,0.86,1.05,5.5,0.151812017,0.260314298,0.408659535,0.43,24.2004672897196,24.1634579439252,34.0744392523364,4.47224299065421,68.2248598130841,2.09897196261682,1.99708679059268,1.93468567053227,4.76415916976794,9.67942295533107,22.6256229282434,0.911192722542257,-0.0275117370892019,-0.0369953051643192,-0.0511737089201878,0,0.175446009389671,-0.0103286384976526
DB2,N4,2300,1930,2021,-14.58,14.08,0.444,0.318,0.238,1.14,1.69,1.11,1.23,5.5,0.150003134,0.27021988,0.418740188,1.32,24.2004672897196,24.1634579439252,34.0744392523364,4.47224299065421,68.2248598130841,2.09897196261682,1.99708679059268,1.93468567053227,4.76415916976794,9.67942295533107,22.6256229282434,0.911192722542257,-0.0275117370892019,-0.0369953051643192,-0.0511737089201878,0,0.175446009389671,-0.0103286384976526
DB2,N4,2000,1740,2021,-14.38,14.53,0.371,0.307,0.321,1.12,1.79,1.82,1.85,5.4,0.200273568,0.327456234,0.447699302,0.23,24.2004672897196,24.4781308411215,35.237523364486,3.26210280373832,62.0047196261682,2.27621495327103,1.99708679059268,1.98545964727799,4.78805663351454,7.56622075387865,23.0352739036838,1.00241172585528,-0.0275117370892019,-0.0286384976525822,-0.0383568075117371,3.33588138854507e-17,0.0965258215962442,-0.010093896713615
