LON;LAT;ELEV/100;SANDu;DILTu;CLAYu;BULKu;COARSEu;Cou;Nu;Phu;-;-;-;SANDm;DILTm;CLAYm;BULKm;COARSEm;Com;Nm;Phm;-;-;-;SANDstd;DILTstd;CLAYstd;BULKstd;COARSEstd;Costd;Nstd;Phstd;-;-;-;SANDmin;DILTmin;CLAYmin;BULKmin;COARSEmin;Comin;Nmin;Phmin;-;-;-;SANDmax;DILTmax;CLAYmax;BULKmax;COARSEmax;Comax;Nmax;Phmax;PointN;Region;SOILTYPE;SLLL;SDUL;SSAT;SSKS
-16.5589951;12.7794281;0.002683824;377.7161202;289.797356;272.9546431;83.34513095;135.4214076;498.0846704;262.5592489;53.60614907;-16.55888889;12.77944444;0.003;401.3289414;305.5114653;290.5860666;88.92471683;143.0692043;442.8968327;276.3208909;57;0.002551028;0.0028683;0.001131255;80.57884817;62.19913;59.76919745;17.78902466;29.49040749;175.4697746;57.07835917;11.44421478;-16.56444444;12.775;0;0.146500746;0.113270089;0.097905377;0.031801382;0.053955153;0.277636781;0.108982263;0.020009858;-16.555;12.78444444;0.006;451.651314;348.3406741;328.5202728;100.4683924;181.9060825;853.3857707;335.2103341;65.48451234;23;1;Clay LOAM;0.206924939;0.363942382;0.589141117;0.23
-16.55866667;12.8613064;0.00270303;371.3293145;194.4877592;216.7700455;71.84031756;127.5412169;288.7239907;125.8686786;42.59244781;-16.55777778;12.86166667;0.002;465.929584;245.5335193;272.8641581;88.71485149;158.2105269;342.4509021;142.5805264;54.20132244;0.002966997;0.002288811;0.002504202;176.8661669;93.84920293;103.6241721;34.61952319;61.31488112;139.6941572;63.64829172;20.42646557;-16.56444444;12.85555556;0;0.300204581;0.145220915;0.164746416;0.055525644;0.096407162;0.231255155;0.088474927;0.032339111;-16.555;12.86444444;0.015;561.7133606;296.5742448;330.9200348;103.7757089;209.6306582;508.5847755;238.6125777;62.29305287;24;1;LOAM;0.160291877;0.315111249;0.523620521;1.32
-16.55864646;12.94912121;0.001836364;245.2781363;115.898367;124.5316908;56.27782214;79.63777079;139.3328747;71.48660554;28.23075615;-16.55888889;12.95;0.002;198.8443444;94.89497302;110.9425917;50.31847552;66.7123813;116.4236397;57.12497321;23.32410518;0.002301746;0.002848122;0.001487115;219.0156677;103.3763888;111.0581802;50.2298033;70.84724786;125.1890259;64.59131748;25.14394756;-16.56277778;12.945;0;0.115370042;0.054735889;0.066060555;0.030199111;0.039400403;0.064880903;0.033738069;0.013683972;-16.555;12.95333333;0.006;599.7995198;287.9037695;334.0957429;152.7294824;199.2642466;397.0672821;204.4948059;69.5767443;25;1;Silt LOAM;0.095454386;0.283443619;0.468320636;0.68
-16.55972222;13.02972222;0.013391975;528.3213411;239.3310194;232.2817976;124.7014545;121.3268625;325.57888;155.3268743;55.64320075;-16.55972222;13.02972222;0.014;528.5275301;239.4615064;231.705117;127.3905118;118.8575777;319.1751763;151.9879366;56;0.002886751;0.002886751;0.002914265;12.97384212;11.85107438;6.454255197;6.454265905;7.997179843;45.04923824;9.027035351;0.491524341;-16.56444444;13.025;0.001;504.2482168;197.9100708;217.1504754;110.0362377;108.00176;216.4745879;136.8183243;53.72984711;-16.555;13.03444444;0.022;578.2581028;258.765763;246.9282023;132.5626988;141.3353975;462.8423753;177.674475;56.26861285;26;1;Sandy Clay LOAM;0.175246756;0.299620919;0.504909827;0.43
-16.55972222;13.11972222;0.029688272;527.1438835;237.5216847;235.1478871;139.6417094;131.9585755;218.2069411;144.0861484;56.17347432;-16.55972222;13.11972222;0.03;524.8417543;234.4766162;236.8983187;139.3474575;130.162251;213.8399331;143.7565273;56.01246327;0.002886751;0.002886751;0.002603591;19.31389804;11.3863863;14.33374782;1.231273353;8.714203236;16.78673831;8.194844205;0.802574433;-16.56444444;13.115;0.023;501.3070172;216.4923238;186.750082;137.7573286;117.3739501;187.2180797;123.1116185;52.6991929;-16.555;13.12444444;0.038;595.0878077;263.8590885;254.8361554;144.4483453;154.7356564;259.5084531;167.4966509;57.31809444;27;1;Sandy Clay LOAM;0.164945326;0.280699688;0.46541086;0.43
-16.47729585;12.44215529;0.003518072;341.7265111;210.5784908;235.0648373;81.28725163;118.4200504;245.9851388;143.6258469;46.33842334;-16.47722222;12.44222222;0.004;434.1870761;261.1003643;297.3143139;103.919314;148.8450221;290.5597717;180.619459;58.61205002;0.001502209;0.001488685;0.001908655;162.3505166;99.64067422;112.0828373;38.73529787;56.25602613;121.0737071;68.11118992;21.9888396;-16.48055556;12.43944444;0;0.000910695;0.000583941;0.000611346;0.000210809;0.00032043;0.000889614;0.000387889;0.000124377;-16.475;12.44444444;0.009;496.6891474;319.385784;343.7352234;114.6223943;175.2532864;499.0660463;211.8251637;67.84197552;28;1;LOAM;0.165162368;0.318968878;0.506949786;1.32
-16.47940629;12.51932284;0.003369099;288.7748032;226.1757528;252.0942513;71.27657915;113.9764101;300.5024091;160.4976408;42.62552693;-16.47944444;12.51888889;0.003;366.8692731;291.410557;325.8246;90.50902685;138.5338727;356.8767571;184.9170051;54.29049669;0.002794704;0.002889938;0.001345903;137.8150295;109.5543538;120.7547292;34.15247986;54.98821377;149.9823231;78.31670928;20.39447263;-16.48444444;12.515;0;0.090611095;0.070850164;0.079525695;0.022411787;0.038316926;0.09808169;0.057354895;0.013736256;-16.475;12.52444444;0.011;477.2609547;352.9195672;424.4724951;118.0517532;181.1051435;534.9180689;313.9292244;69.08154318;29;1;LOAM;0.177591086;0.342036573;0.537960592;1.32
-16.47911585;12.68765583;0.002884146;345.113658;210.6680525;220.2945082;69.76741748;118.3775286;341.8430593;207.7451963;42.40514987;-16.47888889;12.6875;0.003;439.1495887;264.3045405;281.9783961;88.87533331;146.8161038;421.3652203;262.2625088;53.91888909;0.002860602;0.00185542;0.001640737;163.8462777;99.83051986;104.6555927;33.04976952;56.2282604;163.9422208;99.35404056;20.09396733;-16.48444444;12.685;0;8.86E-05;5.52E-05;5.76E-05;1.81E-05;3.14E-05;7.85E-05;5.38E-05;1.11E-05;-16.475;12.69222222;0.006;522.8601386;330.7890673;331.9746912;107.8917746;182.5860801;644.9794;320.1184522;65.20931433;31;1;LOAM;0.166681935;0.330599045;0.55196031;1.32
-16.47972222;12.77972222;0.021697531;512.9135804;263.4449526;223.682706;120.8360133;160.4984766;311.3324936;168.7652135;54.94903279;-16.47972222;12.77972222;0.022;507.6362817;265.1737463;222.3789973;121.4627422;158.5076696;314.9034003;167.943072;55;0.002886751;0.002886751;0.002766651;19.31922265;21.0919674;7.391257868;3.269304241;8.16420005;49.43980638;9.798618147;0.455811334;-16.48444444;12.775;0.014;486.7106983;214.6713328;209.2431386;111.7717491;145.1875939;177.245615;136.0796223;53.757462;-16.475;12.78444444;0.028;558.1771019;294.3908365;256.843132;127.1322067;191.104086;429.4498334;191.6079984;56.23914256;32;1;Sandy Clay LOAM;0.1689166;0.29623971;0.50514143;0.43
-16.47972222;12.85972222;0.02129321;486.6306202;263.69321;249.7733792;123.9749762;170.2488247;202.9993818;127.071111;54.59125958;-16.47972222;12.85972222;0.021;487.0891449;260.1011991;251.43724;123.8408112;166.849393;190.4323954;125.0861665;54.79110117;0.002886751;0.002886751;0.0033612;12.90886869;8.719080429;7.916261012;1.394849865;13.80060482;29.07816781;6.35532149;0.462627511;-16.48444444;12.855;0.012;458.5030495;248.968256;229.8013869;121.6316152;148.5545893;152.4460367;112.619486;53.85616104;-16.475;12.86444444;0.029;510.6727663;286.2230603;262.3864954;127.4187067;200.9967496;273.6712448;142.6794298;55.15177357;33;1;Sandy Clay LOAM;0.170760134;0.291451332;0.464054873;0.43
