LON;LAT;ELEV;sand;silt;clay;BULK;COARSE;OrganicCarbon;N;PH;No.DB1;Region;SLLL;SDUL;SSAT;SSKS
-16.30972222;12.43972222;0.022268519;0.364757137;0.29303686;0.342305473;1.139240068;0.17042914;3.097915528;20.26440254;5.313195614;46;1;0.225574292;0.358661739;0.506508999;0.23
-16.30972222;12.51972222;0.021018519;0.387262863;0.31924258;0.293626887;1.235427805;0.151856743;2.079881956;15.70584431;5.365224027;47;1;0.193374035;0.326428683;0.477854588;0.23
-16.30588889;12.69116049;0.002555556;0.219148453;0.101819321;0.098277578;0.398227307;0.061431996;1.281373702;5.266692013;2.300216789;49;1;0.080193585;0.27939579;0.461840252;0.68
-16.30972222;12.77972222;0.02412037;0.526554028;0.266583673;0.206855424;1.342682667;0.156973209;1.791619922;12.40771949;5.413405825;50;1;0.145099089;0.260712878;0.455139299;0.43
-16.30972222;12.85972222;0.025506173;0.541734749;0.260843812;0.197593252;1.336534068;0.130856767;1.929051528;12.92932942;5.395510571;51;1;0.14174025;0.256350311;0.460043921;0.43
-16.30972222;12.94972222;0.014506173;0.499283221;0.294607247;0.206084193;1.241311372;0.127032234;2.549898193;11.06878682;5.290788554;52;1;0.153155485;0.28073582;0.48959229;1.32
-16.30972222;13.02972222;0.010509259;0.452734393;0.307111772;0.240149678;1.305807201;0.128711106;3.316523994;12.29240374;5.301043711;53;1;0.178144623;0.316203017;0.520033159;1.32
-16.30972222;13.11972222;0.03270679;0.467734775;0.256106727;0.276205307;1.406277537;0.124984401;2.186641432;10.94455423;5.608538913;54;1;0.186258698;0.308410564;0.468985883;0.43
-16.21972222;12.51972222;0.02408642;0.361040794;0.313817253;0.324991255;1.179317669;0.167330774;2.604657938;16.39496099;5.409753767;55;1;0.213271832;0.348094967;0.496159337;0.23
-16.22068376;12.60653846;0.003634615;0.265179843;0.16989139;0.178058409;0.571377461;0.108997497;2.608506001;18.45922834;3.431829597;56;1;0.136230219;0.319816995;0.534258455;0.68
-16.21972222;12.68972222;0.019361111;0.467285926;0.297707546;0.234737067;1.261181876;0.143499939;2.538823855;14.22438663;5.48187202;57;1;0.167688136;0.297685775;0.488550763;1.32
-16.21972222;12.77972222;0.035188272;0.510797584;0.293073807;0.196067061;1.388485204;0.14064649;1.703903812;11.1509416;5.482897751;58;1;0.138043942;0.257235896;0.454847725;1.32
-16.21972222;12.85972222;0.036654321;0.484911615;0.314498917;0.200880301;1.322426574;0.139343549;2.161549645;12.23757538;5.498551747;59;1;0.145786813;0.2736275;0.476581257;1.32
