LON,LAT,sand,silt,clay,BULK,COARSE,OrganicCarbon,N,PH,SLLL,SDUL,SSAT,SSKS
-15.8989,12.6093,0.628,0.147,0.225,1.6,0.83,0.8,0.66,6.1,0.139695076,0.224550835973664,0.396424213573664,0.43
-15.8989,12.694,0.659,0.152,0.189,1.62,0.73,0.45,0.6,6,0.11540186752,0.194197202210267,0.388821362586267,2.59
-15.8989,12.7787,0.63,0.165,0.205,1.63,0.79,0.45,0.5,6,0.125253613,0.209009179375788,0.389819154775788,0.43
-15.8989,12.8634,0.602,0.179,0.22,1.63,1.15,0.57,0.56,5.9,0.1352718988,0.224263317610028,0.393844143530028,0.43
-15.8989,12.9481,0.551,0.196,0.253,1.61,0.86,1.33,0.6,6.1,0.15981924976,0.259822004701464,0.412891658709464,0.43
-15.8989,13.0328,0.659,0.136,0.204,1.63,0.81,0.73,0.64,5.8,0.12651626332,0.205923011201127,0.393759914737127,0.43
-15.8989,13.1175,0.616,0.181,0.202,1.63,1.25,0.57,0.56,5.8,0.12447237784,0.211536769578206,0.392994920570206,0.43
-15.8142,12.5246,0.633,0.142,0.225,1.59,0.89,0.63,0.55,6.1,0.138458974,0.221710461183521,0.392920073063521,0.43
-15.8142,12.6093,0.619,0.155,0.225,1.6,0.76,0.51,0.59,6.1,0.137703496,0.223088085212776,0.391618703492776,0.43
-15.8142,12.694,0.607,0.178,0.215,1.63,0.81,0.51,0.56,5.9,0.1318408636,0.219839046647539,0.392304296367539,0.43
-15.8142,12.7787,0.627,0.169,0.205,1.64,0.92,0.49,0.62,6,0.1255753552,0.21006867912181,0.39077148484181,0.43
-15.8142,12.8634,0.608,0.161,0.231,1.64,1,0.55,0.66,5.8,0.14162442796,0.229022467980796,0.393175622228796,0.43
-15.8142,12.9481,0.59,0.187,0.223,1.65,1.36,0.56,0.51,6,0.1370650048,0.228163210368875,0.394486648128875,0.43
-15.8142,13.0328,0.64,0.158,0.202,1.62,1.13,0.78,0.53,5.9,0.1258433464,0.209159527238962,0.395897058598962,0.43
-15.8142,13.1175,0.637,0.157,0.206,1.67,0.94,0.58,0.55,6,0.12675351784,0.209666514324749,0.392001937556749,0.43
-15.7295,12.4399,0.617,0.145,0.238,1.6,0.88,0.66,0.58,6,0.14648285032,0.232443990747845,0.394582213723845,0.43
-15.7295,12.5246,0.596,0.17,0.235,1.58,0.96,0.62,0.59,6.1,0.1445459812,0.234306835167737,0.395420912367737,0.43
-15.7295,12.6093,0.602,0.16,0.237,1.6,1.08,0.5,0.59,6.1,0.14488655848,0.233013039557066,0.392787949781066,0.43
-15.7295,12.694,0.634,0.149,0.218,1.62,0.75,0.46,0.68,6,0.13305979264,0.215656131020645,0.389727910252645,0.43
-15.7295,12.7787,0.63,0.153,0.217,1.64,0.86,0.61,0.63,5.7,0.1335762058,0.217554680876141,0.392827319796141,0.43
-15.7295,12.8634,0.613,0.162,0.225,1.6,0.74,0.73,0.63,5.9,0.139285474,0.226663442055341,0.396187514335341,0.43
-15.7295,12.9481,0.453,0.286,0.261,1.61,1.49,0.64,0.65,6.1,0.16056793336,0.275414384122842,0.409783451290842,1.32
-15.7295,13.0328,0.435,0.293,0.273,1.18,1.07,1.24,0.93,6.1,0.1707477412,0.290026876573921,0.424798054813922,0.23
-15.7295,13.1175,0.567,0.202,0.231,1.58,1.01,0.7,0.6,6.1,0.14288073304,0.238523277952554,0.399082865104554,0.43
-15.7295,13.2022,0.547,0.196,0.257,1.44,1.01,1.36,0.64,6.1,0.16231588168,0.262954974801697,0.413869934705697,0.43
-15.7295,13.2869,0.647,0.186,0.167,1.6,0.84,0.45,0.5,5.7,0.10235293048,0.184527592683652,0.389997057907652,2.59
-15.6448,12.5246,0.625,0.164,0.212,1.59,0.77,0.57,0.63,5.7,0.1303481362,0.215284619976256,0.392408073496256,0.43
-15.6448,12.6093,0.628,0.161,0.211,1.6,0.74,0.55,0.65,5.9,0.12958383916,0.213905791556213,0.391850656364213,0.43
-15.6448,12.694,0.623,0.147,0.23,1.62,0.95,0.64,0.65,6,0.1415627608,0.226564894340655,0.393769348420655,0.43
-15.6448,12.7787,0.6,0.167,0.233,1.63,0.69,0.73,0.73,5.7,0.1440873022,0.233606323515397,0.397153960835397,0.43
-15.6448,12.8634,0.619,0.17,0.212,1.64,0.87,0.55,0.66,5.8,0.13024966756,0.216245141399569,0.392369773927569,0.43
-15.6448,12.9481,0,0,0,0,0,0,0,0,0.01534,0.286875483,0.350483483,21
-15.6448,13.0328,0.574,0.171,0.255,1.61,0.74,0.68,0.6,5.9,0.1568590984,0.250191313961649,0.398840806921649,0.43
-15.6448,13.1175,0.5,0.239,0.261,0.99,1.02,1.51,0.98,6.1,0.1654695298,0.274928959101001,0.421982044181001,0.43
-15.6448,13.2022,0.539,0.21,0.251,1.12,0.87,2.93,1.43,5.7,0.16857470968,0.277189610906432,0.444824192450432,0.43
-15.6448,13.2869,0.681,0.106,0.212,1.67,0.52,0.59,0.5,5.7,0.13006983484,0.204552070918588,0.389561467510588,0.43
-15.5601,12.5246,0.636,0.14,0.224,1.59,1.7,0.59,0.73,5.7,0.13755902608,0.220123234619195,0.391990814843195,0.43
-15.5601,12.6093,0.56,0.197,0.243,1.41,0.89,1.92,0.84,5.8,0.1578230824,0.259031800645777,0.423348076805778,0.43
-15.5601,12.694,0.526,0.226,0.249,1.55,1.23,1.07,0.77,5.9,0.15591994588,0.25972029878756,0.41041875049156,0.43
-15.5601,12.7787,0.508,0.222,0.27,1.53,0.96,1.42,0.85,5.8,0.1701149272,0.277228841791686,0.419506315871686,0.43
-15.5601,12.8634,0.534,0.201,0.265,1.4,1.27,1.88,0.99,5.9,0.1700205352,0.274488078341821,0.424798893541821,0.43
-15.5601,12.9481,0.482,0.242,0.276,1.52,0.74,1.61,0.86,5.8,0.17454509944,0.286520291757075,0.426308619309075,0.43
