*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  FEB 18, 2025 01:32:02

*RUN   1        : F1 NE 4                   RICER048 CRDA1201    1
 MODEL          : RICER048 - Rice
 EXPERIMENT     : CRDA1201 WH ESSAI VARIETE DAROU PAKA 2012
 DATA PATH      :
 TREATMENT  1   : F1 NE 4                   RICER048
  
!YR        Days  Days              Leaf  <--------- Dry Weight -----------> Grain Kernl              <------ Stress (0-1) ------>   Leaf  Shell  Spec  <-Canopy->  Root  <-- Root Length Density ---><Senesced Mat>   Phot  
!  and    after after  Leaf  Grow  Area  <------------ kg/Ha ------------->   per  wght  Harv Tillr  <--- Water ---->                Nit   -ing  Leaf  Hght Brdth Depth  <---- cm3/cm3 of soil -----> <--(kg/ha)-->  Therm  
!     DOY start plant   Num Stage Index  Leaf  Stem Grain  Root Panic  Crop    m2    mg  Indx   No.  Phot  Grow  Excs  Nitr Potas     %      %   Area    m     m     m    0-5  5-15 15-20 20-4747-100   Surf   Soil   Days  
@YEAR DOY   DAS   DAP  L#SD  GSTD  LAID  LWAD  SWAD  GWAD  RWAD  EWAD  CWAD  G#AD  GWGD  HIAD  T#AD  WSPD  WSGD  EWSD  NSTD  KSTD   LN%D   SH%D  SLAD  CHTD  CWID  RDPD  RL1D  RL2D  RL3D  RL4D  RL5D  SNW0C  SNW1C   DTTC  
 2012 298   146    78  16.0     4  0.62   547  1180     0   291     0  1727     0   0.0 0.000   422 0.478 0.652 0.000 0.000 0.000   0.00   0.00 112.9  0.00  0.00  1.00  1.22  1.18  0.84  0.25  0.24    115      0   1381
 2012 299   147    79  16.0     4  0.60   547  1204     0   292     0  1751     0   0.0 0.000   410 0.618 0.746 0.000 0.000 0.000   0.00   0.00 109.6  0.00  0.00  1.00  1.22  1.19  0.85  0.25  0.24    123      0   1396
 2012 300   148    80  16.0     4  0.58   546  1226     0   293     0  1772     0   0.0 0.000   398 0.628 0.752 0.000 0.000 0.000   0.00   0.00 106.2  0.00  0.00  1.00  1.21  1.19  0.86  0.25  0.24    132      0   1412
 2012 301   149    81  16.0     4  0.56   546  1243     0   293     0  1789     0   0.0 0.000   385 0.707 0.805 0.000 0.000 0.000   0.00   0.00 102.5  0.00  0.00  1.00  1.21  1.20  0.87  0.26  0.24    141      0   1427
 2012 302   150    82  16.0     5  0.54   546  1243    22   294    22  1810     1 ***** 0.012   385 0.555 0.703 0.000 0.000 0.000   0.00   0.00  99.8  0.00  0.00  1.00  1.20  1.20  0.87  0.26  0.25    151      0   1445
 2012 303   151    83  16.0     5  0.52   545  1243    37   295    37  1825     1 ***** 0.020   385 0.730 0.820 0.000 0.000 0.000   0.00   0.00  96.2  0.00  0.00  1.00  1.19  1.21  0.88  0.26  0.25    161      0   1460
 2012 304   152    84  16.0     5  0.50   545  1243    50   294    50  1837     2 ***** 0.027   385 0.763 0.842 0.000 0.000 0.000   0.00   0.00  92.6  0.00  0.00  1.00  1.19  1.21  0.88  0.26  0.25    172      0   1475
 2012 305   153    85  16.0     5  0.48   544  1243    61   294    61  1848     2 ***** 0.033   385 0.794 0.863 0.000 0.000 0.000   0.00 100.00  89.0  0.00  0.00  1.00  1.18  1.21  0.89  0.26  0.25    183      0   1489
 2012 306   154    86  16.0     5  0.47   544  1243    72   293    72  1858     2 ***** 0.039   385 0.773 0.849 0.000 0.000 0.000   0.00 100.00  85.7  0.00  0.00  1.00  1.18  1.21  0.89  0.26  0.25    195      0   1504
 2012 307   155    87  16.0     5  0.45   543  1243    82   293    82  1868     3 ***** 0.044   385 0.775 0.850 0.000 0.000 0.000   0.00 100.00  82.4  0.00  0.00  1.00  1.17  1.21  0.89  0.26  0.25    207      0   1519
 2012 308   156    88  16.0     5  0.43   543  1243    91   292    91  1877     3 ***** 0.049   385 0.782 0.855 0.000 0.000 0.000   0.00 100.00  79.3  0.00  0.00  1.00  1.16  1.20  0.89  0.26  0.25    220      0   1534
 2012 309   157    89  16.0     5  0.41   542  1243    99   290    99  1884     3 ***** 0.053   385 0.814 0.876 0.000 0.000 0.000   0.00 100.00  76.1  0.00  0.00  1.00  1.16  1.20  0.89  0.26  0.25    233      0   1548
 2012 310   158    90  16.0     5  0.40   542  1243   106   289   106  1891     4 ***** 0.056   385 0.819 0.879 0.000 0.000 0.000   0.00 100.00  73.0  0.00  0.00  1.00  1.15  1.20  0.89  0.27  0.25    246      0   1561
