Var1,EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,PRED,DAYLD,TWLD,SRAD,PARD,CLDD,TMXD,TMND,TAVD,TDYD,TDWD,TGAD,TGRD,WDSD,CO2D,VPDF,VPD,OZON7,WDATE
61,CRDA1201,RICER048,1,1,2012-07-31,61,3.8,12,12.8,19.8,39.6,0.28,30.3,22.6,26.3,27.5,20.2,26.3,27.5,248,394.1,0,0,NA,2012-07-31
62,CRDA1201,RICER048,1,1,2012-08-01,62,4,12,12.8,10.1,20.2,0.63,28,23,25.4,26.2,21.3,25.4,26.2,285,394.1,0,0,NA,2012-08-01
63,CRDA1201,RICER048,1,1,2012-08-02,63,6.8,12,12.8,19,38,0.31,29.4,22.8,26,27,20.7,26,27,295,394.1,0,0,NA,2012-08-02
64,CRDA1201,RICER048,1,1,2012-08-03,64,2.6,12,12.8,12.1,24.2,0.56,27.5,22.1,24.7,25.6,20.3,24.7,25.6,243,394.1,0,0,NA,2012-08-03
65,CRDA1201,RICER048,1,1,2012-08-04,65,25.7,12,12.8,18.8,37.6,0.32,28.4,22.4,25.3,26.2,20.7,25.3,26.2,212,394.1,0,0,NA,2012-08-04
66,CRDA1201,RICER048,1,1,2012-08-05,66,8,12,12.8,16.1,32.2,0.42,26.9,23,24.9,25.5,21.6,24.9,25.5,220,394.1,0,0,NA,2012-08-05
67,CRDA1201,RICER048,1,1,2012-08-06,67,2.7,12,12.8,21.7,43.4,0.22,30.1,22.6,26.2,27.4,20.3,26.2,27.4,237,394.1,0,0,NA,2012-08-06
68,CRDA1201,RICER048,1,1,2012-08-07,68,5.8,12,12.8,19.6,39.2,0.3,30.8,22.7,26.6,27.9,20.3,26.6,27.9,215,394.1,0,0,NA,2012-08-07
69,CRDA1201,RICER048,1,1,2012-08-08,69,22.5,12,12.8,11.3,22.6,0.59,29.1,23.9,26.4,27.2,21.9,26.4,27.2,153,394.1,0,0,NA,2012-08-08
70,CRDA1201,RICER048,1,1,2012-08-09,70,19.2,12,12.8,20.8,41.6,0.26,29.8,22.7,26.1,27.3,20.5,26.1,27.3,216,394.1,0,0,NA,2012-08-09
71,CRDA1201,RICER048,1,1,2012-08-10,71,5.4,12,12.8,18.4,36.8,0.34,28.3,21.8,24.9,26,19.9,24.9,26,191,394.1,0,0,NA,2012-08-10
