DB,Cultivar,GY_Kg_H_,Year,LON,LAT,LONs,LATs,ELEV,sand,silt,clay,BULK,COARSE,OrganicCarbon,N,PH,No_DB1,Region,SLLL,SDUL,SSAT,SSKS
DB1,N4,2006,2013,-13.91,13.83,-13.90972222,13.82972222,0.022151235,0.549126166,0.194604428,0.256144522,1.585149504,0.082587127,0.765819538,8.16754686,6.182304756,11,5,0.161558246,0.261695439,0.412852557,0.43
DB1,N4,185,2013,-13.91,13.83,-13.90972222,13.82972222,0.022151235,0.549126166,0.194604428,0.256144522,1.585149504,0.082587127,0.765819538,8.16754686,6.182304756,12,5,0.161558246,0.261695439,0.412852557,0.43
DB1,N4,135.2,2014,-13.91,13.83,-13.90972222,13.82972222,0.022151235,0.549126166,0.194604428,0.256144522,1.585149504,0.082587127,0.765819538,8.16754686,6.182304756,13,5,0.161558246,0.261695439,0.412852557,0.43
DB1,N4,789.9,2014,-13.91,13.83,-13.90972222,13.82972222,0.022151235,0.549126166,0.194604428,0.256144522,1.585149504,0.082587127,0.765819538,8.16754686,6.182304756,14,5,0.161558246,0.261695439,0.412852557,0.43
DB1,N4,1329,2014,-13.91,13.83,-13.90972222,13.82972222,0.022151235,0.549126166,0.194604428,0.256144522,1.585149504,0.082587127,0.765819538,8.16754686,6.182304756,15,5,0.161558246,0.261695439,0.412852557,0.43
DB2,N4,3150,2022,-14.24,13.86,-14.23972222,13.85972222,0.04517284,0.59606012,0.214586289,0.189325509,1.589446766,0.070218778,0.73380929,6.654516576,5.91199616,16,5,0.122269599,0.216907262,0.409220239,2.59
DB2,N4,3100,2021,-13.97,14.13,-13.96972222,14.12972222,0.031694444,0.591476968,0.185021242,0.223675806,1.590559438,0.048398093,0.652737224,5.232305393,5.997345017,17,5,0.141336154,0.234409321,0.405453331,0.43
DB2,N4,2050,2021,-14.4,13.85,-14.39972222,13.84972222,0.051848765,0.678261393,0.145605906,0.176030357,1.594660466,0.073027616,0.631638173,5.06341032,6.06719597,18,5,0.112563842,0.190841961,0.401811646,2.59
DB2,N4,2068.627451,2021,-14.24,13.86,-14.23972222,13.85972222,0.04517284,0.59606012,0.214586289,0.189325509,1.589446766,0.070218778,0.73380929,6.654516576,5.91199616,19,5,0.122269599,0.216907262,0.409220239,2.59
DB2,N4,2083.333333,2021,-13.96,13.77,-13.95972222,13.76972222,0.018503086,0.564861169,0.200891524,0.234264473,1.58369547,0.082130135,0.727244984,7.21460962,5.928827822,20,5,0.148442891,0.246532456,0.410125037,0.43
DB2,N4,1500,2021,-14.25,14.07,-14.24972222,14.06972222,0.03633642,0.687755528,0.158614961,0.153588225,1.597736997,0.047044237,0.647269422,5.618543283,6.223389917,21,5,0.099425945,0.177062587,0.404344944,2.59
DB2,N4,2500,2021,-14.56,13.98,-14.55972222,13.97972222,0.026580247,0.485058472,0.114646298,0.110356908,1.142827209,0.047247877,0.428128328,3.057135788,4.500103247,22,5,0.073354831,0.196326945,0.400883546,1.32
DB2,N4,2100,2021,-14.58,14,-14.57972222,13.99973684,0.018789474,0.661863329,0.153094656,0.184938887,1.594676111,0.075256156,0.813508831,5.743477412,6.167268932,23,5,0.120409106,0.202863558,0.408289505,2.59
DB2,N4,2600,2021,-14.57,14.02,-14.56972222,14.01972222,0.02441358,0.686130882,0.140535025,0.173235918,1.60514173,0.066377905,0.710708019,5.486339556,6.19770592,24,5,0.111962564,0.189407773,0.404534798,2.59
DB2,N4,2300,2021,-14.58,14.08,-14.57962496,14.07963021,0.046744479,0.7068762,0.137597112,0.15558417,1.597002034,0.053571247,0.631274221,5.052056733,6.292945678,25,5,0.100200748,0.173788227,0.402915877,2.59
DB2,N4,2000,2021,-14.38,14.53,-14.37972222,14.52972222,0.050052469,0.612941829,0.193512153,0.193585862,1.589493526,0.06393543,0.588932474,4.66626283,6.412265127,26,5,0.12280479,0.212757132,0.402593776,2.59
