*Surface Mulch daily output file

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  DEC 30, 2025 00:11:04

*RUN   1        : F1 NE 4                   RICER048 CRDA1201    1
 MODEL          : RICER048 - Rice
 EXPERIMENT     : CRDA1201 WH ESSAI VARIETE DAROU PAKA 2012
 DATA PATH      :
 TREATMENT  1   : F1 NE 4                   RICER048
  
@YEAR DOY   DAS    MCFD   MDEPD    MWAD    MWTD
 2012 201    49   0.000    0.00       0    0.00
 2012 202    50   0.000    0.00       0    0.00
 2012 203    51   0.000    0.00       0    0.00
 2012 204    52   0.000    0.00       0    0.00
 2012 205    53   0.000    0.00       0    0.00
 2012 206    54   0.000    0.00       0    0.00
 2012 207    55   0.000    0.00       0    0.00
 2012 208    56   0.000    0.00       0    0.00
 2012 209    57   0.000    0.00       0    0.00
 2012 210    58   0.000    0.00       0    0.00
 2012 211    59   0.000    0.00       0    0.00
 2012 212    60   0.000    0.00       0    0.00
 2012 213    61   0.000    0.00       0    0.00
 2012 214    62   0.000    0.00       0    0.00
 2012 215    63   0.000    0.00       0    0.00
 2012 216    64   0.000    0.00       0    0.00
 2012 217    65   0.000    0.00       0    0.00
 2012 218    66   0.000    0.00       0    0.00
 2012 219    67   0.000    0.00       0    0.00
 2012 220    68   0.000    0.00       0    0.00
 2012 221    69   0.000    0.00       0    0.00
 2012 222    70   0.000    0.00       0    0.00
 2012 223    71   0.000    0.00       0    0.00
 2012 224    72   0.000    0.00       0    0.00
 2012 225    73   0.000    0.00       0    0.00
 2012 226    74   0.000    0.00       0    0.00
 2012 227    75   0.000    0.00       0    0.00
 2012 228    76   0.000    0.00       0    0.00
 2012 229    77   0.000    0.00       0    0.00
 2012 230    78   0.000    0.00       0    0.00
 2012 231    79   0.000    0.00       0    0.00
 2012 232    80   0.000    0.00       0    0.00
 2012 233    81   0.000    0.00       0    0.00
 2012 234    82   0.000    0.00       1    0.00
 2012 235    83   0.000    0.00       1    0.00
 2012 236    84   0.000    0.00       1    0.00
 2012 237    85   0.000    0.00       1    0.00
 2012 238    86   0.001    0.00       1    0.00
 2012 239    87   0.001    0.00       2    0.00
 2012 240    88   0.001    0.00       2    0.00
 2012 241    89   0.001    0.00       2    0.00
 2012 242    90   0.001    0.00       3    0.00
 2012 243    91   0.001    0.00       3    0.00
 2012 244    92   0.001    0.00       4    0.00
 2012 245    93   0.002    0.00       4    0.00
 2012 246    94   0.002    0.00       5    0.00
 2012 247    95   0.002    0.00       5    0.00
 2012 248    96   0.002    0.00       6    0.00
 2012 249    97   0.003    0.00       7    0.00
 2012 250    98   0.003    0.00       7    0.00
 2012 251    99   0.003    0.00       8    0.00
 2012 252   100   0.004    0.00       9    0.00
 2012 253   101   0.004    0.00      10    0.00
 2012 254   102   0.004    0.00      11    0.00
 2012 255   103   0.005    0.00      11    0.00
 2012 256   104   0.005    0.00      12    0.00
 2012 257   105   0.005    0.00      13    0.00
 2012 258   106   0.006    0.00      14    0.01
 2012 259   107   0.006    0.00      15    0.01
 2012 260   108   0.006    0.00      16    0.01
 2012 261   109   0.007    0.00      17    0.01
 2012 262   110   0.007    0.00      18    0.01
 2012 263   111   0.008    0.00      20    0.01
 2012 264   112   0.008    0.00      21    0.01
 2012 265   113   0.009    0.00      22    0.01
 2012 266   114   0.009    0.00      23    0.01
 2012 267   115   0.010    0.00      25    0.01
 2012 268   116   0.010    0.00      26    0.01
 2012 269   117   0.011    0.00      28    0.01
 2012 270   118   0.012    0.00      29    0.01
 2012 271   119   0.012    0.00      31    0.01
 2012 272   120   0.013    0.00      32    0.01
 2012 273   121   0.013    0.00      34    0.01
 2012 274   122   0.014    0.00      36    0.01
 2012 275   123   0.015    0.00      37    0.01
 2012 276   124   0.015    0.00      39    0.01
 2012 277   125   0.016    0.00      41    0.01
 2012 278   126   0.017    0.00      43    0.02
 2012 279   127   0.018    0.00      44    0.02
 2012 280   128   0.018    0.00      46    0.02
 2012 281   129   0.019    0.00      48    0.02
 2012 282   130   0.020    0.00      50    0.02
 2012 283   131   0.021    0.00      52    0.02
 2012 284   132   0.021    0.00      54    0.02
 2012 285   133   0.021    0.00      53    0.02
 2012 286   134   0.021    0.00      53    0.02
