*SOM C DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  APR 22, 2025 15:19:20

*RUN   1        : F1 NE 4                   RICER048 CRDA1201    1
 MODEL          : RICER048 - Rice
 EXPERIMENT     : CRDA1201 WH ESSAI VARIETE DAROU PAKA 2012
 DATA PATH      :
 TREATMENT  1   : F1 NE 4                   RICER048
  
!                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    Cumul.
!               <---- SOM C in top layers ----> <- SOM + LIT C in top layers -> <------------ Total Soil Organic Carbon (SOM + LIT) ------------> <--------- Active Soil Organic Carbon (SOM1) ---------> <---- Intermediate Soil Organic C (SOM2) -----> <------- Passive Soil Organic C (SOM3) -------> <------------------ Litter Carbon --------------------> <-------------- Metabolic Litter Carbon --------------> <------------- Structural Litter Carbon -------------->  Resid.  <-Accum. CO2->
!               20cm-kg  20cm-% 40cm-kg  40cm-% 20cm-kg  20cm-% 40cm-kg  40cm-%     Total Surface    Soil     0-5    5-15   15-30   30-45  45-100 Surface    Soil     0-5    5-15   15-30   30-45  45-100    Soil     0-5    5-15   15-30   30-45  45-100    Soil     0-5    5-15   15-30   30-45  45-100 Surface    Soil     0-5    5-15   15-30   30-45  45-100 Surface    Soil     0-5    5-15   15-30   30-45  45-100 Surface    Soil     0-5    5-15   15-30   30-45  45-100 (kg/ha) Surface    Soil
@YEAR DOY   DAS  SCS20D  SC%20D  SCS40D  SC%40D  SLC20D  SL%20D  SLC40D  SL%40D      SOCD    SC0D    SCTD    SC1D    SC2D    SC3D    SC4D   SC5+D   S1C0D   S1CTD   S1C1D   S1C2D   S1C3D   S1C4D  S1C5+D   S2CTD   S2C1D   S2C2D   S2C3D   S2C4D  S2C5+D   S3CTD   S3C1D   S3C2D   S3C3D   S3C4D  S3C5+D    LC0D    LCTD    LC1D    LC2D    LC3D    LC4D   LC5+D   MEC0D   MECTD   MEC1D   MEC2D   MEC3D   MEC4D  MEC5+D   STC0D   STCTD   STC1D   STC2D   STC3D   STC4D  STC5+D    RESC   CO20C   CO2SC
 2012 182    30   45880   1.504   47731   1.580   45892   1.505   47737   1.581    260748       0  260748   11326   22638   35786   35820  155179       0    5883     234     460     732     746    3712  144576    5902   11800   18401   18423   90051  110263    5186   10373   16647   16647   61410       0      25       4       6       6       4       6       0      11       2       2       2       2       3       0      15       2       3       4       2       3       0       0    3197
 2012 183    31   45865   1.504   47714   1.580   45876   1.504   47721   1.580    260667       0  260667   11322   22629   35774   35808  155135       0    5844     232     456     726     740    3690  144535    5900   11795   18394   18417   90029  110263    5186   10373   16647   16647   61410       0      25       4       6       6       4       6       0      10       1       2       2       2       3       0      15       2       3       4       2       3       0       0    3278
 2012 184    32   44736   1.501   47697   1.579   44747   1.502   47704   1.580    260584       0  260584   11313   22624   35761   35796  155091       0    5804     228     454     721     734    3668  144493    5896   11792   18388   18411   90007  110263    5186   10373   16647   16647   61410       0      24       3       6       6       4       6       0      10       1       2       2       2       3       0      15       2       4       4       2       3       0       0    3361
 2012 185    33   45107   1.501   47683   1.579   45118   1.502   47689   1.579    260503       0  260503   11307   22617   35750   35784  155044       0    5765     225     450     716     729    3645  144450    5893   11788   18382   18405   89983  110263    5186   10373   16647   16647   61410       0      24       3       6       6       4       6       0       9       1       2       2       1       2       0      15       2       4       4       2       3       0       0    3442
 2012 186    34   45177   1.501   47669   1.578   45188   1.501   47675   1.579    260420       0  260420   11302   22610   35740   35773  154995       0    5726     223     447     711     724    3622  144407    5890   11784   18376   18399   89958  110263    5186   10373   16647   16647   61410       0      23       3       6       5       4       6       0       9       1       2       2       1       2       0      15       2       4       4       2       3       0       0    3525
 2012 187    35   45310   1.501   47654   1.578   45321   1.501   47660   1.578    260332       0  260332   11296   22602   35728   35762  154943       0    5685     220     444     706     719    3597  144361    5887   11780   18370   18393   89930  110263    5186   10373   16647   16647   61410       0      23       3       5       5       4       5       0       8       1       2       2       1       2       0      15       2       4       4       2       3       0       0    3613
 2012 188    36   45341   1.500   47639   1.577   45351   1.501   47645   1.578    260242       0  260242   11290   22595   35717   35751  154888       0    5643     218     440     701     713    3571  144313    5884   11776   18364   18387   89902  110263    5186   10373   16647   16647   61410       0      22       3       5       5       4       5       0       8       1       2       2       1       2       0      15       2       4       4       2       3       0       0    3703
 2012 189    37   45393   1.500   47624   1.577   45403   1.500   47630   1.577    260149       0  260149   11284   22587   35705   35740  154833       0    5601     215     437     696     708    3545  144264    5880   11772   18357   18381   89873  110263    5186   10373   16647   16647   61410       0      22       3       5       5       3       5       0       7       1       2       2       1       2       0      15       2       4       4       2       3       0       0    3796
 2012 190    38   45459   1.499   47608   1.576   45468   1.500   47614   1.577    260058       0  260058   11279   22579   35693   35728  154779       0    5559     212     434     691     703    3520  144214    5877   11768   18351   18375   89844  110263    5186   10372   16647   16647   61411       0      22       3       5       5       3       5       0       7       1       2       2       1       2       0      15       2       4       4       2       3       0       0    3887
 2012 191    39   45729   1.499   47594   1.576   45739   1.500   47599   1.576    259968       0  259968   11273   22571   35682   35717  154724       0    5519     210     430     686     698    3494  144165    5874   11764   18345   18368   89815  110263    5186   10372   16647   16647   61411       0      21       3       5       5       3       5       0       7       1       1       1       1       2       0      15       2       4       4       2       3       0       0    3977
